publication_week,entity,mentions,unique_stories,weighted_mentions,estimated_reach,avg_stance
2026-03-23/2026-03-29,Ukraine,6,6,5.766,2496749,-0.264
2026-03-23/2026-03-29,United States,4,4,3.511,779758,-0.25
2026-03-23/2026-03-29,Volodymyr Zelenskiy,1,1,0.977,416834,0.325
2026-03-30/2026-04-05,Defence Forces,1,1,1.033,416834,-0.9
2026-03-30/2026-04-05,Donald Trump,5,5,3.885,1254978,-0.331
2026-03-30/2026-04-05,Dáil,5,5,4.12,642076,-0.582
2026-03-30/2026-04-05,EU,1,1,1.033,416834,0.25
2026-03-30/2026-04-05,Fianna Fáil,6,6,4.556,616719,-0.021
2026-03-30/2026-04-05,Fine Gael,7,7,4.846,616719,-0.018
2026-03-30/2026-04-05,Gaza,2,2,1.49,118523,-0.866
2026-03-30/2026-04-05,Government,18,17,13.929,2610282,-0.313
2026-03-30/2026-04-05,Israel,3,3,2.16,545834,-0.567
2026-03-30/2026-04-05,Lelia Doolan,3,3,2.428,528290,-0.8
2026-03-30/2026-04-05,Mary Lou McDonald,9,8,6.375,795904,-0.033
2026-03-30/2026-04-05,Micheál Martin,9,9,7.127,1280410,-0.218
2026-03-30/2026-04-05,NATO,11,10,8.493,1840034,0.045
2026-03-30/2026-04-05,Shannon Airport,4,4,3.284,581290,-0.8
2026-03-30/2026-04-05,Shannonwatch,1,1,0.744,57666,-0.8
2026-03-30/2026-04-05,Simon Harris,6,6,4.105,563000,0.083
2026-03-30/2026-04-05,Sinn Féin,8,8,5.617,640623,-0.178
2026-03-30/2026-04-05,Triple Lock,1,1,0.741,53719,-0.625
2026-03-30/2026-04-05,UN Security Council,3,3,3.062,889592,-0.809
2026-03-30/2026-04-05,US military,4,4,3.475,898334,-0.6
2026-03-30/2026-04-05,Ukraine,2,1,1.87,749420,0.0
2026-03-30/2026-04-05,United States,1,1,0.939,411301,0.0
2026-04-06/2026-04-12,Colm McCarthy,1,1,1.033,419627,0.667
2026-04-06/2026-04-12,Defence Forces,38,10,29.558,3731791,-0.663
2026-04-06/2026-04-12,Donald Trump,2,2,0.977,54859,-0.666
2026-04-06/2026-04-12,Dáil,34,11,26.326,3139837,-0.84
2026-04-06/2026-04-12,EU,28,6,21.249,2084658,-0.887
2026-04-06/2026-04-12,Fianna Fáil,4,3,3.009,225771,-0.515
2026-04-06/2026-04-12,Fine Gael,4,3,3.009,225771,-0.515
2026-04-06/2026-04-12,Gaza,2,2,1.775,465300,-0.45
2026-04-06/2026-04-12,Government,61,26,47.498,6579629,-0.554
2026-04-06/2026-04-12,Helen McEntee,2,2,2.065,819534,0.075
2026-04-06/2026-04-12,Ireland Palestine Solidarity Campaign,1,1,0.939,419646,-0.9
2026-04-06/2026-04-12,Irish Neutrality League,1,1,0.939,419646,-0.9
2026-04-06/2026-04-12,Israel,4,4,3.043,884272,-0.621
2026-04-06/2026-04-12,Lelia Doolan,3,3,2.27,174865,-0.778
2026-04-06/2026-04-12,Mary Lou McDonald,42,9,31.579,3335423,-0.677
2026-04-06/2026-04-12,Micheál Martin,4,3,3.259,576005,-0.594
2026-04-06/2026-04-12,NATO,5,5,4.872,1702640,0.35
2026-04-06/2026-04-12,Omar Barghouti,2,2,2.067,839292,-0.625
2026-04-06/2026-04-12,Palestine,5,5,4.49,1369330,-0.53
2026-04-06/2026-04-12,People Before Profit,4,4,2.658,529364,-0.558
2026-04-06/2026-04-12,Russia,2,2,2.066,829394,0.608
2026-04-06/2026-04-12,Sally Rooney,2,2,2.067,839292,-0.625
2026-04-06/2026-04-12,Shannon Airport,8,8,6.543,1843570,-0.673
2026-04-06/2026-04-12,Sinn Féin,43,13,32.458,3359981,-0.645
2026-04-06/2026-04-12,Triple Lock,5,4,3.83,287023,-0.767
2026-04-06/2026-04-12,UN,1,1,1.032,409767,-0.4
2026-04-06/2026-04-12,UN Security Council,28,6,21.249,2084658,-0.887
2026-04-06/2026-04-12,US military,5,5,3.444,594511,-0.747
2026-04-06/2026-04-12,Ukraine,3,3,2.519,523924,0.183
2026-04-06/2026-04-12,United States,3,3,2.009,464626,-0.578
2026-04-13/2026-04-19,Defence Forces,23,1,17.526,2076819,-0.878
2026-04-13/2026-04-19,Donald Trump,8,7,7.668,2533709,-0.374
2026-04-13/2026-04-19,Dáil,58,15,44.115,7212372,-0.838
2026-04-13/2026-04-19,Fianna Fáil,33,19,25.128,4218485,-0.821
2026-04-13/2026-04-19,Fine Gael,31,19,23.187,3605889,-0.83
2026-04-13/2026-04-19,Gaza,4,4,3.41,959410,-0.681
2026-04-13/2026-04-19,Government,72,33,56.239,9697204,-0.784
2026-04-13/2026-04-19,Ireland Palestine Solidarity Campaign,25,2,19.428,2116591,-0.872
2026-04-13/2026-04-19,Irish Neutrality League,26,3,20.175,2179462,-0.864
2026-04-13/2026-04-19,Israel,28,5,22.429,3095326,-0.81
2026-04-13/2026-04-19,Ivana Bacik,29,8,20.801,2716744,-0.907
2026-04-13/2026-04-19,Labour Party,28,7,20.566,2716744,-0.908
2026-04-13/2026-04-19,Lelia Doolan,36,15,27.216,5575356,-0.83
2026-04-13/2026-04-19,Mary Lou McDonald,29,19,21.716,3780614,-0.831
2026-04-13/2026-04-19,Micheál Martin,32,11,23.638,3705884,-0.877
2026-04-13/2026-04-19,NATO,2,2,2.065,819534,-0.334
2026-04-13/2026-04-19,Palestine,55,11,41.717,5313040,-0.887
2026-04-13/2026-04-19,People Before Profit,26,3,20.404,2533425,-0.873
2026-04-13/2026-04-19,Russia,1,1,1.032,409767,0.0
2026-04-13/2026-04-19,Shannon Airport,60,16,45.742,7275113,-0.876
2026-04-13/2026-04-19,Simon Harris,31,10,22.563,2973744,-0.884
2026-04-13/2026-04-19,Sinn Féin,50,18,37.835,5528304,-0.856
2026-04-13/2026-04-19,Triple Lock,1,1,0.977,416834,-0.889
2026-04-13/2026-04-19,UN,2,2,1.916,833668,-0.444
2026-04-13/2026-04-19,UN Security Council,24,2,18.558,2486586,-0.842
2026-04-13/2026-04-19,US military,37,15,28.217,5198294,-0.875
